vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_location_id,pickup_zone_name,pickup_borough,dropoff_location_id,dropoff_zone_name,dropoff_borough,is_inter_borough,trip_distance,trip_duration_mins,avg_speed_mph,fare_amount,tip_amount,tip_percentage,total_cost,cost_per_mile,pickup_hour,pickup_day,pickup_month,pickup_year,day_type,time_of_day,payment_type,rate_code
1,2018-04-04T10:56:00.000+02:00,2018-04-04T11:11:00.000+02:00,1.0,90,Flatiron,Manhattan,114,Greenwich Village South,Manhattan,false,1.5,15.0,6.0,10.0,2.15,21.5,12.950000000000001,6.666666666666667,10,4,4,2018,weekday,midday,1,1
1,2018-05-15T08:09:00.000+02:00,2018-05-15T08:17:00.000+02:00,1.0,162,Midtown East,Manhattan,237,Upper East Side South,Manhattan,false,0.9,8.0,6.75,7.0,1.55,22.142857142857146,9.350000000000001,7.777777777777778,8,3,5,2018,weekday,morning_rush,1,1
1,2018-03-23T12:51:00.000+02:00,2018-03-23T13:23:00.000+02:00,1.0,237,Upper East Side South,Manhattan,231,TriBeCa/Civic Center,Manhattan,false,3.9,32.0,7.3125,21.0,4.35,20.71428571428571,26.150000000000002,5.384615384615385,12,6,3,2018,weekday,midday,1,1
2,2018-05-07T22:17:00.000+02:00,2018-05-07T22:24:00.000+02:00,1.0,237,Upper East Side South,Manhattan,263,Yorkville West,Manhattan,false,1.8,7.0,15.428571428571429,8.0,0.0,0.0,9.3,4.444444444444445,22,2,5,2018,weekday,night,2,1
2,2018-01-18T09:16:00.000+02:00,2018-01-18T09:27:00.000+02:00,1.0,137,Kips Bay,Manhattan,164,Midtown South,Manhattan,false,1.0,11.0,5.454545454545455,8.0,1.76,22.0,10.56,8.0,9,5,1,2018,weekday,morning_rush,1,1
1,2018-07-20T11:45:00.000+02:00,2018-07-20T11:56:00.000+02:00,1.0,90,Flatiron,Manhattan,249,West Village,Manhattan,false,0.5,11.0,2.7272727272727275,8.0,0.0,0.0,8.8,16.0,11,6,7,2018,weekday,midday,2,1
2,2018-03-02T08:40:00.000+02:00,2018-03-02T08:42:00.000+02:00,1.0,186,Penn Station/Madison Sq West,Manhattan,90,Flatiron,Manhattan,false,0.35,2.0,10.5,3.5,0.86,24.571428571428573,5.16,10.0,8,6,3,2018,weekday,morning_rush,1,1
1,2018-07-30T20:59:00.000+02:00,2018-07-30T21:03:00.000+02:00,1.0,161,Midtown Center,Manhattan,161,Midtown Center,Manhattan,false,0.7,4.0,10.5,4.5,0.0,0.0,5.8,6.428571428571429,20,2,7,2018,weekday,night,2,1
1,2018-05-15T04:46:00.000+02:00,2018-05-15T05:10:00.000+02:00,1.0,87,Financial District North,Manhattan,138,LaGuardia Airport,Queens,true,10.8,24.0,27.0,32.0,6.65,20.78125,39.949999999999996,2.962962962962963,4,3,5,2018,weekday,night,1,1
2,2018-09-10T21:00:00.000+02:00,2018-09-10T21:12:00.000+02:00,1.0,264,,,264,,,false,2.57,12.0,12.849999999999998,10.5,1.0,9.523809523809524,12.8,4.0856031128404675,21,2,9,2018,weekday,night,1,1
2,2018-08-08T22:42:00.000+02:00,2018-08-08T22:50:00.000+02:00,2.0,234,Union Sq,Manhattan,170,Murray Hill,Manhattan,false,0.98,8.0,7.35,7.0,1.66,23.71428571428571,9.96,7.142857142857143,22,4,8,2018,weekday,night,1,1
2,2018-07-09T20:57:00.000+02:00,2018-07-09T21:00:00.000+02:00,2.0,112,Greenpoint,Brooklyn,112,Greenpoint,Brooklyn,false,0.43,3.0,8.6,4.0,0.0,0.0,5.3,9.30232558139535,20,2,7,2018,weekday,night,2,1
2,2018-02-19T01:50:00.000+02:00,2018-02-19T02:00:00.000+02:00,1.0,148,Lower East Side,Manhattan,233,UN/Turtle Bay South,Manhattan,false,3.45,10.0,20.700000000000003,12.5,2.76,22.08,16.56,3.623188405797101,1,2,2,2018,weekday,night,1,1
1,2018-09-21T01:03:00.000+02:00,2018-09-21T01:09:00.000+02:00,1.0,229,Sutton Place/Turtle Bay North,Manhattan,163,Midtown North,Manhattan,false,1.2,6.0,11.999999999999998,6.5,0.0,0.0,7.8,5.416666666666667,1,6,9,2018,weekday,night,2,1
2,2018-07-17T13:01:00.000+02:00,2018-07-17T13:11:00.000+02:00,4.0,90,Flatiron,Manhattan,186,Penn Station/Madison Sq West,Manhattan,false,0.74,10.0,4.44,7.0,1.17,16.71428571428571,8.97,9.45945945945946,13,3,7,2018,weekday,midday,1,1
2,2018-03-31T00:14:00.000+02:00,2018-03-31T00:21:00.000+02:00,2.0,48,Clinton East,Manhattan,24,Bloomingdale,Manhattan,false,3.07,7.0,26.314285714285713,10.0,2.26,22.599999999999998,13.56,3.257328990228013,0,7,3,2018,weekend,night,1,1
2,2018-09-07T14:10:00.000+02:00,2018-09-07T14:14:00.000+02:00,6.0,50,Clinton West,Manhattan,230,Times Sq/Theatre District,Manhattan,false,0.56,4.0,8.4,4.5,1.06,23.555555555555557,6.36,8.035714285714285,14,6,9,2018,weekday,midday,1,1
1,2018-05-08T09:41:00.000+02:00,2018-05-08T09:53:00.000+02:00,1.0,239,Upper West Side South,Manhattan,163,Midtown North,Manhattan,false,1.7,12.0,8.5,10.0,2.15,21.5,12.950000000000001,5.882352941176471,9,3,5,2018,weekday,morning_rush,1,1
1,2018-03-19T19:27:00.000+02:00,2018-03-19T19:44:00.000+02:00,1.0,13,Battery Park City,Manhattan,170,Murray Hill,Manhattan,false,5.6,17.0,19.764705882352942,18.5,2.0,10.81081081081081,22.3,3.303571428571429,19,2,3,2018,weekday,evening_rush,1,1
2,2018-11-25T00:03:00.000+02:00,2018-11-25T00:24:00.000+02:00,4.0,234,Union Sq,Manhattan,186,Penn Station/Madison Sq West,Manhattan,false,2.53,21.0,7.228571428571429,14.5,0.0,0.0,15.8,5.731225296442688,0,1,11,2018,weekend,night,2,1
2,2018-08-24T02:11:00.000+02:00,2018-08-24T02:58:00.000+02:00,1.0,140,Lenox Hill East,Manhattan,149,Madison,Brooklyn,true,24.04,47.0,30.68936170212766,67.0,0.0,0.0,68.3,2.787021630615641,2,6,8,2018,weekday,night,2,1
1,2018-03-14T21:25:00.000+02:00,2018-03-14T21:54:00.000+02:00,1.0,186,Penn Station/Madison Sq West,Manhattan,146,Long Island City/Queens Plaza,Queens,true,4.9,29.0,10.13793103448276,21.0,4.0,19.047619047619047,26.3,4.285714285714286,21,4,3,2018,weekday,night,1,1
2,2018-03-10T12:09:00.000+02:00,2018-03-10T12:21:00.000+02:00,1.0,137,Kips Bay,Manhattan,161,Midtown Center,Manhattan,false,1.85,12.0,9.25,10.0,2.16,21.6,12.96,5.405405405405405,12,7,3,2018,weekend,midday,1,1
2,2018-12-04T20:29:00.000+02:00,2018-12-04T20:39:00.000+02:00,1.0,162,Midtown East,Manhattan,170,Murray Hill,Manhattan,false,1.17,10.0,7.02,8.0,0.0,0.0,9.3,6.837606837606838,20,3,12,2018,weekday,night,2,1
1,2018-02-11T09:20:00.000+02:00,2018-02-11T09:28:00.000+02:00,1.0,170,Murray Hill,Manhattan,161,Midtown Center,Manhattan,false,1.3,8.0,9.75,7.0,1.55,22.142857142857146,9.350000000000001,5.384615384615384,9,1,2,2018,weekend,morning_rush,1,1
1,2018-09-29T21:37:00.000+02:00,2018-09-29T21:50:00.000+02:00,3.0,68,East Chelsea,Manhattan,158,Meatpacking/West Village West,Manhattan,false,1.7,13.0,7.846153846153846,9.5,2.16,22.736842105263158,12.96,5.588235294117648,21,7,9,2018,weekend,night,1,1
2,2018-03-26T16:48:00.000+02:00,2018-03-26T16:59:00.000+02:00,1.0,79,East Village,Manhattan,186,Penn Station/Madison Sq West,Manhattan,false,1.35,11.0,7.363636363636364,8.5,2.06,24.23529411764706,12.360000000000001,6.296296296296296,16,2,3,2018,weekday,evening_rush,1,1
2,2018-12-17T18:22:00.000+02:00,2018-12-17T18:39:00.000+02:00,2.0,163,Midtown North,Manhattan,238,Upper West Side North,Manhattan,false,2.29,17.0,8.08235294117647,12.0,2.76,23.0,16.56,5.240174672489083,18,2,12,2018,weekday,evening_rush,1,1
1,2018-03-29T22:22:00.000+02:00,2018-03-29T22:30:00.000+02:00,1.0,170,Murray Hill,Manhattan,50,Clinton West,Manhattan,false,1.1,8.0,8.25,7.5,1.75,23.333333333333332,10.55,6.8181818181818175,22,5,3,2018,weekday,night,1,1
1,2018-09-24T23:18:00.000+02:00,2018-09-24T23:24:00.000+02:00,2.0,142,Lincoln Square East,Manhattan,239,Upper West Side South,Manhattan,false,1.2,6.0,11.999999999999998,6.5,1.55,23.846153846153847,9.350000000000001,5.416666666666667,23,2,9,2018,weekday,night,1,1
2,2018-03-23T07:26:00.000+02:00,2018-03-23T07:39:00.000+02:00,1.0,262,Yorkville East,Manhattan,162,Midtown East,Manhattan,false,3.09,13.0,14.26153846153846,12.5,2.25,18.0,15.55,4.045307443365696,7,6,3,2018,weekday,morning_rush,1,1
1,2018-05-07T11:03:00.000+02:00,2018-05-07T11:07:00.000+02:00,1.0,107,Gramercy,Manhattan,170,Murray Hill,Manhattan,false,0.3,4.0,4.5,4.0,0.0,0.0,4.8,13.333333333333334,11,2,5,2018,weekday,midday,3,1
1,2018-09-04T15:28:00.000+02:00,2018-09-04T15:44:00.000+02:00,2.0,261,World Trade Center,Manhattan,144,Little Italy/NoLiTa,Manhattan,false,4.1,16.0,15.374999999999998,15.5,3.0,19.35483870967742,19.3,3.780487804878049,15,3,9,2018,weekday,midday,1,1
2,2018-06-15T11:53:00.000+02:00,2018-06-15T12:05:00.000+02:00,1.0,163,Midtown North,Manhattan,143,Lincoln Square West,Manhattan,false,0.66,12.0,3.3,8.5,0.0,0.0,9.3,12.878787878787879,11,6,6,2018,weekday,midday,2,1
2,2018-01-29T18:21:00.000+02:00,2018-01-29T18:33:00.000+02:00,2.0,161,Midtown Center,Manhattan,164,Midtown South,Manhattan,false,1.09,12.0,5.45,8.5,2.58,30.352941176470587,12.88,7.798165137614678,18,2,1,2018,weekday,evening_rush,1,1
2,2018-04-23T14:58:00.000+02:00,2018-04-23T15:02:00.000+02:00,1.0,48,Clinton East,Manhattan,68,East Chelsea,Manhattan,false,0.83,4.0,12.45,5.5,0.0,0.0,6.3,6.626506024096386,14,2,4,2018,weekday,midday,2,1
2,2018-01-22T23:46:00.000+02:00,2018-01-22T23:54:00.000+02:00,2.0,107,Gramercy,Manhattan,237,Upper East Side South,Manhattan,false,2.01,8.0,15.075,9.0,0.0,0.0,10.3,4.477611940298508,23,2,1,2018,weekday,night,2,1
2,2018-12-04T09:46:00.000+02:00,2018-12-04T10:08:00.000+02:00,5.0,140,Lenox Hill East,Manhattan,50,Clinton West,Manhattan,false,3.46,22.0,9.436363636363637,16.5,3.46,20.96969696969697,20.76,4.76878612716763,9,3,12,2018,weekday,morning_rush,1,1
2,2018-04-08T21:03:00.000+02:00,2018-04-08T21:06:00.000+02:00,1.0,263,Yorkville West,Manhattan,141,Lenox Hill West,Manhattan,false,0.85,3.0,17.0,5.0,1.26,25.2,7.56,5.882352941176471,21,1,4,2018,weekend,night,1,1
1,2018-12-12T19:05:00.000+02:00,2018-12-12T19:11:00.000+02:00,1.0,211,SoHo,Manhattan,144,Little Italy/NoLiTa,Manhattan,false,0.5,6.0,5.0,5.5,1.45,26.36363636363636,8.75,11.0,19,4,12,2018,weekday,evening_rush,1,1
1,2018-01-10T00:33:00.000+02:00,2018-01-10T00:40:00.000+02:00,1.0,237,Upper East Side South,Manhattan,230,Times Sq/Theatre District,Manhattan,false,1.0,7.0,8.571428571428571,6.5,1.95,30.0,9.75,6.5,0,4,1,2018,weekday,night,1,1
2,2018-07-12T13:10:00.000+02:00,2018-07-12T13:13:00.000+02:00,4.0,68,East Chelsea,Manhattan,68,East Chelsea,Manhattan,false,0.72,3.0,14.399999999999999,4.0,1.44,36.0,6.239999999999999,5.555555555555555,13,5,7,2018,weekday,midday,1,1
1,2018-05-01T16:05:00.000+02:00,2018-05-01T16:13:00.000+02:00,1.0,113,Greenwich Village North,Manhattan,144,Little Italy/NoLiTa,Manhattan,false,0.6,8.0,4.5,7.0,0.0,0.0,8.8,11.666666666666668,16,3,5,2018,weekday,evening_rush,2,1
1,2018-09-20T17:37:00.000+02:00,2018-09-20T18:16:00.000+02:00,2.0,138,LaGuardia Airport,Queens,170,Murray Hill,Manhattan,true,8.5,39.0,13.076923076923077,30.5,0.0,0.0,38.059999999999995,3.588235294117647,17,5,9,2018,weekday,evening_rush,2,1
2,2018-10-29T12:03:00.000+02:00,2018-10-29T12:09:00.000+02:00,1.0,158,Meatpacking/West Village West,Manhattan,90,Flatiron,Manhattan,false,0.82,6.0,8.2,6.0,0.0,0.0,6.8,7.317073170731708,12,2,10,2018,weekday,midday,2,1
2,2018-03-23T23:31:00.000+02:00,2018-03-23T23:52:00.000+02:00,1.0,137,Kips Bay,Manhattan,24,Bloomingdale,Manhattan,false,5.55,21.0,15.857142857142858,19.5,4.16,21.333333333333336,24.96,3.5135135135135136,23,6,3,2018,weekday,night,1,1
2,2018-08-12T11:42:00.000+02:00,2018-08-12T11:46:00.000+02:00,2.0,239,Upper West Side South,Manhattan,24,Bloomingdale,Manhattan,false,1.51,4.0,22.650000000000002,6.0,1.36,22.666666666666668,8.16,3.9735099337748343,11,1,8,2018,weekend,midday,1,1
1,2018-10-18T18:38:00.000+02:00,2018-10-18T19:12:00.000+02:00,2.0,230,Times Sq/Theatre District,Manhattan,107,Gramercy,Manhattan,false,2.2,34.0,3.882352941176471,20.5,4.45,21.70731707317073,26.75,9.318181818181817,18,5,10,2018,weekday,evening_rush,1,1
2,2018-02-15T14:28:00.000+02:00,2018-02-15T14:32:00.000+02:00,1.0,68,East Chelsea,Manhattan,68,East Chelsea,Manhattan,false,0.65,4.0,9.75,4.5,0.0,0.0,5.3,6.9230769230769225,14,5,2,2018,weekday,midday,2,1
1,2018-07-29T03:13:00.000+02:00,2018-07-29T03:16:00.000+02:00,1.0,239,Upper West Side South,Manhattan,238,Upper West Side North,Manhattan,false,0.8,3.0,16.0,5.0,0.0,0.0,6.3,6.25,3,1,7,2018,weekend,night,2,1
2,2018-07-19T21:44:00.000+02:00,2018-07-19T21:48:00.000+02:00,5.0,43,Central Park,Manhattan,237,Upper East Side South,Manhattan,false,0.63,4.0,9.450000000000001,5.0,1.89,37.8,8.19,7.936507936507937,21,5,7,2018,weekday,night,1,1
2,2018-08-02T13:15:00.000+02:00,2018-08-02T14:07:00.000+02:00,1.0,236,Upper East Side North,Manhattan,1,Newark Airport,EWR,true,22.08,52.0,25.476923076923075,81.0,12.0,14.814814814814813,108.8,3.6684782608695654,13,5,8,2018,weekday,midday,1,3
2,2018-04-18T17:37:00.000+02:00,2018-04-18T17:41:00.000+02:00,1.0,239,Upper West Side South,Manhattan,238,Upper West Side North,Manhattan,false,0.86,4.0,12.9,5.5,0.0,0.0,7.3,6.395348837209302,17,4,4,2018,weekday,evening_rush,2,1
2,2018-05-03T09:24:00.000+02:00,2018-05-03T09:51:00.000+02:00,5.0,107,Gramercy,Manhattan,236,Upper East Side North,Manhattan,false,3.21,27.0,7.133333333333333,18.5,0.0,0.0,19.3,5.7632398753894085,9,5,5,2018,weekday,morning_rush,2,1
2,2018-09-29T01:32:00.000+02:00,2018-09-29T01:56:00.000+02:00,1.0,211,SoHo,Manhattan,163,Midtown North,Manhattan,false,4.63,24.0,11.575,19.0,4.06,21.36842105263158,24.36,4.103671706263499,1,7,9,2018,weekend,night,1,1
2,2018-12-17T21:56:00.000+02:00,2018-12-17T22:00:00.000+02:00,1.0,13,Battery Park City,Manhattan,231,TriBeCa/Civic Center,Manhattan,false,0.83,4.0,12.45,5.5,1.36,24.727272727272727,8.16,6.626506024096386,21,2,12,2018,weekday,night,1,1
1,2018-02-10T22:25:00.000+02:00,2018-02-10T22:30:00.000+02:00,1.0,255,Williamsburg (North Side),Brooklyn,112,Greenpoint,Brooklyn,false,1.0,5.0,12.0,5.0,1.25,25.0,7.55,5.0,22,7,2,2018,weekend,night,1,1
1,2018-03-27T18:46:00.000+02:00,2018-03-27T19:07:00.000+02:00,1.0,186,Penn Station/Madison Sq West,Manhattan,236,Upper East Side North,Manhattan,false,3.5,21.0,10.0,16.0,3.55,22.1875,21.35,4.571428571428571,18,3,3,2018,weekday,evening_rush,1,1
2,2018-10-26T21:16:00.000+02:00,2018-10-26T21:28:00.000+02:00,1.0,162,Midtown East,Manhattan,74,East Harlem North,Manhattan,false,3.48,12.0,17.4,12.0,0.0,0.0,13.3,3.4482758620689657,21,6,10,2018,weekday,night,2,1
2,2018-11-13T12:12:00.000+02:00,2018-11-13T12:32:00.000+02:00,1.0,162,Midtown East,Manhattan,161,Midtown Center,Manhattan,false,0.84,20.0,2.52,12.0,3.2,26.666666666666668,16.0,14.285714285714286,12,3,11,2018,weekday,midday,1,1
1,2018-01-01T02:43:00.000+02:00,2018-01-01T02:55:00.000+02:00,1.0,164,Midtown South,Manhattan,145,Long Island City/Hunters Point,Queens,true,3.0,12.0,15.0,11.5,3.0,26.08695652173913,21.56,3.8333333333333335,2,2,1,2018,weekday,night,1,1
2,2018-09-15T05:29:00.000+02:00,2018-09-15T05:37:00.000+02:00,5.0,41,Central Harlem,Manhattan,162,Midtown East,Manhattan,false,3.34,8.0,25.05,11.5,0.0,0.0,12.8,3.44311377245509,5,7,9,2018,weekend,night,2,1
1,2018-06-28T09:13:00.000+02:00,2018-06-28T09:52:00.000+02:00,1.0,107,Gramercy,Manhattan,40,Carroll Gardens,Brooklyn,true,4.9,39.0,7.538461538461538,25.5,5.25,20.588235294117645,31.55,5.204081632653061,9,5,6,2018,weekday,morning_rush,1,1
1,2018-03-15T18:53:00.000+02:00,2018-03-15T19:08:00.000+02:00,1.0,79,East Village,Manhattan,232,Two Bridges/Seward Park,Manhattan,false,1.8,15.0,7.2,10.5,2.45,23.333333333333332,14.75,5.833333333333333,18,5,3,2018,weekday,evening_rush,1,1
2,2018-06-15T09:32:00.000+02:00,2018-06-15T09:48:00.000+02:00,1.0,233,UN/Turtle Bay South,Manhattan,261,World Trade Center,Manhattan,false,5.49,16.0,20.587500000000002,19.5,4.06,20.820512820512818,24.36,3.551912568306011,9,6,6,2018,weekday,morning_rush,1,1
1,2018-03-13T08:02:00.000+02:00,2018-03-13T08:23:00.000+02:00,1.0,79,East Village,Manhattan,161,Midtown Center,Manhattan,false,2.5,21.0,7.142857142857143,14.5,3.05,21.034482758620687,18.35,5.8,8,3,3,2018,weekday,morning_rush,1,1
1,2018-11-13T07:18:00.000+02:00,2018-11-13T07:31:00.000+02:00,1.0,236,Upper East Side North,Manhattan,140,Lenox Hill East,Manhattan,false,1.6,13.0,7.384615384615385,10.0,0.0,0.0,10.8,6.25,7,3,11,2018,weekday,morning_rush,2,1
1,2018-05-03T21:21:00.000+02:00,2018-05-03T21:29:00.000+02:00,1.0,249,West Village,Manhattan,231,TriBeCa/Civic Center,Manhattan,false,1.5,8.0,11.25,7.5,1.0,13.333333333333334,9.8,5.0,21,5,5,2018,weekday,night,1,1
1,2018-01-18T21:49:00.000+02:00,2018-01-18T22:12:00.000+02:00,1.0,48,Clinton East,Manhattan,79,East Village,Manhattan,false,3.7,23.0,9.652173913043478,16.5,3.55,21.515151515151516,21.35,4.45945945945946,21,5,1,2018,weekday,night,1,1
2,2018-05-21T13:55:00.000+02:00,2018-05-21T14:04:00.000+02:00,6.0,161,Midtown Center,Manhattan,234,Union Sq,Manhattan,false,1.39,9.0,9.266666666666666,8.0,1.76,22.0,10.56,5.755395683453238,13,2,5,2018,weekday,midday,1,1
2,2018-06-27T21:00:00.000+02:00,2018-06-27T21:06:00.000+02:00,1.0,107,Gramercy,Manhattan,79,East Village,Manhattan,false,0.75,6.0,7.5,5.5,1.36,24.727272727272727,8.16,7.333333333333333,21,4,6,2018,weekday,night,1,1
2,2018-10-11T10:32:00.000+02:00,2018-10-11T10:45:00.000+02:00,1.0,229,Sutton Place/Turtle Bay North,Manhattan,237,Upper East Side South,Manhattan,false,1.22,13.0,5.63076923076923,9.5,2.06,21.684210526315788,12.360000000000001,7.786885245901639,10,5,10,2018,weekday,midday,1,1
1,2018-04-16T10:47:00.000+02:00,2018-04-16T10:49:00.000+02:00,1.0,148,Lower East Side,Manhattan,79,East Village,Manhattan,false,0.5,2.0,15.0,3.5,1.25,35.714285714285715,5.55,7.0,10,2,4,2018,weekday,midday,1,1
1,2018-01-15T22:57:00.000+02:00,2018-01-15T23:10:00.000+02:00,1.0,144,Little Italy/NoLiTa,Manhattan,90,Flatiron,Manhattan,false,2.6,13.0,12.0,11.5,2.55,22.17391304347826,15.350000000000001,4.423076923076923,22,2,1,2018,weekday,night,1,1
1,2018-02-19T12:43:00.000+02:00,2018-02-19T12:46:00.000+02:00,1.0,50,Clinton West,Manhattan,163,Midtown North,Manhattan,false,0.7,3.0,13.999999999999998,4.5,0.0,0.0,5.3,6.428571428571429,12,2,2,2018,weekday,midday,1,1
2,2018-10-16T08:02:00.000+02:00,2018-10-16T08:09:00.000+02:00,1.0,237,Upper East Side South,Manhattan,141,Lenox Hill West,Manhattan,false,1.01,7.0,8.657142857142857,6.5,1.46,22.46153846153846,8.760000000000002,6.435643564356436,8,3,10,2018,weekday,morning_rush,1,1
2,2018-03-20T15:24:00.000+02:00,2018-03-20T15:37:00.000+02:00,1.0,229,Sutton Place/Turtle Bay North,Manhattan,226,Sunnyside,Queens,true,3.49,13.0,16.107692307692307,13.0,3.45,26.53846153846154,17.25,3.7249283667621773,15,3,3,2018,weekday,midday,1,1
1,2018-06-09T07:19:00.000+02:00,2018-06-09T07:22:00.000+02:00,1.0,234,Union Sq,Manhattan,170,Murray Hill,Manhattan,false,0.9,3.0,18.0,5.0,1.15,23.0,6.95,5.555555555555555,7,7,6,2018,weekend,morning_rush,1,1
1,2018-02-28T17:31:00.000+02:00,2018-02-28T17:50:00.000+02:00,1.0,162,Midtown East,Manhattan,90,Flatiron,Manhattan,false,2.3,19.0,7.263157894736842,13.0,2.95,22.692307692307693,17.75,5.6521739130434785,17,4,2,2018,weekday,evening_rush,1,1
2,2018-04-19T14:53:00.000+02:00,2018-04-19T15:06:00.000+02:00,2.0,238,Upper West Side North,Manhattan,41,Central Harlem,Manhattan,false,1.96,13.0,9.046153846153846,10.5,2.26,21.523809523809522,13.56,5.357142857142858,14,5,4,2018,weekday,midday,1,1
